# year|team key|OpenDota team ID|finish|historical name|positions 1-5|verified coaching staff|region
2013|liquid|2163|7–8|Team Liquid|TC,Korok,BuLba,FLUFFNSTUFF,ixmike88||北美
2013|fnatic|350190|7–8|Fnatic|Era,H4nn1,Trixi,N0tail,Fly||欧洲
2014|newbee|1375614|1|Newbee|Hao,Mu,xiao8,Banana,SanSheng|Mikasa|中国
2014|vg|726228|2|Vici Gaming|Sylar,Super,rOtK,fy,Fenrir|QQQ|中国
2014|eg|39|3|Evil Geniuses|mason,Arteezy,UNiVeRsE,zai,ppd|Fear|北美
2014|dk|7|4|Team DK|BurNIng,Mushi,iceiceice,LaNm,MMY!|71|中国
2014|lgd|15|5–6|LGD Gaming|Rabbit,Yao,Lin,DD,DDC|820|中国
2014|c9|1333179|5–6|Cloud9|EternaLEnVy,SingSing,bOne7,Aui_2000,pieliedie|Clairvoyance|欧洲
2014|ig|5|7–8|Invictus Gaming|Luo,Ferrari_430,YYF,ChuaN,Faith||中国
2014|navi|36|7–8|Natus Vincere|XBOCT,Dendi,Funn1k,KuroKy,Puppey|Goblak|东欧
2015|eg|39|1|Evil Geniuses|Fear,SumaiL,UNiVeRsE,Aui_2000,ppd|BuLba|北美
2015|cdec|1520578|2|CDEC Gaming|Agressif,Shiki,Xz,Garder,Q (中国)||中国
2015|lgd|15|3|LGD Gaming|Sylar,Maybe,Yao,xiao8,MMY!||中国
2015|vg|726228|4|Vici Gaming|Hao,Super,iceiceice,fy,Fenrir||中国
2015|ehome|4|5–6|EHOME|Zyf,Cty,rOtK,LaNm,DDC|71|中国
2015|vp|1883502|5–6|Virtus.pro|Illidan,G,DkPhobos,Lil,fng||东欧
2015|secret|1838315|7–8|Team Secret|Arteezy,s4,zai,KuroKy,Puppey|1437|欧洲
2015|mvp|1148284|7–8|MVP Phoenix|kpii,QO,March,Febby,NutZ|DuBu|韩国
2016|wings|1836806|1|Wings Gaming|shadow,bLink,Faith_bian,iceice,y`||中国
2016|dc|2512249|2|Digital Chaos|Resolut1on,w33,Moo,Saksa,MiSeRy|Loomdun,Pajkatt|北美
2016|eg|39|3|Evil Geniuses|Fear,SumaiL,UNiVeRsE,zai,ppd|SVG|北美
2016|fnatic|350190|4|Fnatic|Mushi,MidOne,Ohaiyo,DJ,343|WinteR|东南亚
2016|ehome|4|5–6|EHOME|iceiceice,old chicken,old eLeVeN,LaNm,Fenrir|71|中国
2016|mvp|1148284|5–6|MVP Phoenix|MP,QO,FoREv,Febby,DuBu||韩国
2016|liquid|2163|7–8|Team Liquid|MATUMBAMAN,FATA-,MinD_ContRoL,JerAx,KuroKy|Heen|欧洲
2016|tnc|2108395|7–8|TNC Pro Team|Raven,Kuku,Sam_H,eyyou,DeMoN|SunBhie|东南亚
2017|liquid|2163|1|Team Liquid|MATUMBAMAN,Miracle-,MinD_ContRoL,GH,KuroKy|Heen|欧洲
2017|newbee|1375614|2|Newbee|Moogy,Sccc,kpii,Kaka,Faith|SanSheng|中国
2017|lfy|3331948|3|LGD.Forever Young|Monet,Super,Inflame,ah fu,DDC|Banana|中国
2017|lgd|15|4|LGD Gaming|Ame,Maybe,old eLeVeN,Yao,Victoria|QQQ|中国
2017|ig|5|5–6|Invictus Gaming|BurNIng,Op,Xxs,BoBoKa,Q (中国)||中国
2017|vp|1883502|5–6|Virtus.pro|RAMZES666,No[o]ne,9pasha,Lil,Solo|Artstyle|东欧
2017|og|2586976|7–8|OG|N0tail,ana,s4,JerAx,Fly|Ceb|欧洲
2017|empire|46|7–8|Team Empire|Resolut1on,fn,Ghostik,RodjER,Miposhka||东欧
2018|og|2586976|1|OG|ana,Topson,Ceb,JerAx,N0tail|ppasarel|欧洲
2018|lgd|15|2|PSG.LGD|Ame,Maybe,Chalice,fy,xNova|QQQ|中国
2018|eg|39|3|Evil Geniuses|Arteezy,SumaiL,s4,Cr1t-,Fly|BuLba|北美
2018|liquid|2163|4|Team Liquid|MATUMBAMAN,Miracle-,MinD_ContRoL,GH,KuroKy|Heen|欧洲
2018|secret|1838315|5–6|Team Secret|Ace,MidOne,FATA-,YapzOr,Puppey|SunBhie|欧洲
2018|vp|1883502|5–6|Virtus.pro|RAMZES666,No[o]ne,9pasha,RodjER,Solo|Artstyle|东欧
2018|vgj|5228654|7–8|VGJ.Storm|Resolut1on,YawaR,Sneyking,MSS,SVG|Clairvoyance,Illidan|北美
2018|optic|5026801|7–8|OpTic Gaming|Pajkatt,CCnC,33,zai,ppd||北美
2019|og|2586976|1|OG|ana,Topson,Ceb,JerAx,N0tail|Sockshka|欧洲
2019|liquid|2163|2|Team Liquid|Miracle-,w33,MinD_ContRoL,GH,KuroKy|rmN-|欧洲
2019|lgd|15|3|PSG.LGD|Ame,Maybe,Chalice,fy,xNova|QQQ|中国
2019|secret|1838315|4|Team Secret|Nisha,MidOne,zai,YapzOr,Puppey|SunBhie|欧洲
2019|vg|726228|5–6|Vici Gaming|Paparazi,Ori,Yang,Fade,Dy|rOtK|中国
2019|eg|39|5–6|Evil Geniuses|Arteezy,SumaiL,s4,Cr1t-,Fly|BuLba|北美
2019|infamous|2672298|7–8|Infamous|K1,Chris Luck,Wisper,Scofield,Stinger||南美
2019|rng|6209804|7–8|Royal Never Give Up|Monet,Setsu,Flyby,LaNm,ah fu|Super|中国
2021|spirit|7119388|1|Team Spirit|Yatoro,TORONTOTOKYO,Collapse,Mira,Miposhka|Silent|东欧
2021|lgd|15|2|PSG.LGD|Ame,NothingToSay,Faith_bian,XinQ,y`|xiao8|中国
2021|secret|1838315|3|Team Secret|MATUMBAMAN,Nisha,zai,YapzOr,Puppey|Heen|欧洲
2021|ig|5|4|Invictus Gaming|flyfly,Emo,JT-,Kaka,Oli|super (苏鹏)|中国
2021|vg|726228|5–6|Vici Gaming|poyoyo,Ori,old eLeVeN,Pyw,Dy|Fenrir|中国
2021|vp|1883502|5–6|Virtus.pro|Nightfall,gpk,DM,Save-,Kingslayer|boolk|东欧
2021|og|2586976|7–8|OG|SumaiL,Topson,Ceb,Saksa,N0tail|Misha,Sockshka|欧洲
2021|t1|8214850|7–8|T1|23savage,Karl,Kuku,Xepher,Whitemon|March|东南亚
2022|tundra|8291895|1|Tundra Esports|skiter,Nine,33,Saksa,Sneyking|Aui_2000|欧洲
2022|secret|1838315|2|Team Secret|Crystallis,Nisha,Resolut1on,Zayac,Puppey|Heen|欧洲
2022|liquid|2163|3|Team Liquid|MATUMBAMAN,miCKe,zai,Boxi,Insania|Blitz,Jabbz|欧洲
2022|aster|6209166|4|Team Aster|Monet,Ori,Xxs,BoBoKa,皮球|LaNm|中国
2022|lgd|15|5–6|PSG.LGD|Ame,NothingToSay,Faith_bian,XinQ,y`|xiao8|中国
2022|thunder|7391077|5–6|Thunder Awaken|Pakazs,DarkMago,Sacred,Matthew,Panda|Vintage|南美
2022|beastcoast|8254400|7–8|beastcoast|K1,Chris Luck,Wisper,Scofield,Stinger|Raykill,Valqui|南美
2022|og|2586976|7–8|OG|Yuragi,bzm,ATF,Taiga,Misha|Chuvash|欧洲
2023|spirit|7119388|1|Team Spirit|Yatoro,Larl,Collapse,Mira,Miposhka|Silent|东欧
2023|gg|8599101|2|Gaimin Gladiators|dyrachyo,Quinn,Ace,tOfu,Seleri|Cy-|欧洲
2023|lgd|15|3|LGD Gaming|shiro,NothingToSay,niu,planet,y`|xiao8|中国
2023|ar|8574561|4|Azure Ray|Lou,Somnus,Chalice,fy,天命|LaNm|中国
2023|liquid|2163|5–6|Team Liquid|miCKe,Nisha,zai,Boxi,Insania|Blitz,Jabbz|欧洲
2023|betboom|8255888|5–6|BetBoom Team|Nightfall,gpk,Pure,Save-,TORONTOTOKYO|boolk|东欧
2023|nouns|8728920|7–8|nouns|K1,Gunnar,Moo,Lelis,Yamsun|Astini|北美
2023|vp|8724984|7–8|Virtus.pro|Kiritych,squad1x,Noticed,sayuw,Fng|G|东欧
2024|liquid|2163|1|Team Liquid|miCKe,Nisha,33,Boxi,Insania|Blitz,Jabbz,kpii|欧洲
2024|gg|8599101|2|Gaimin Gladiators|dyrachyo,Quinn,Ace,tOfu,Seleri|Cy-|欧洲
2024|tundra|8291895|3|Tundra Esports|Pure,Topson,RAMZES666,Saksa,Whitemon|MoonMeander|欧洲
2024|falcons|9247354|4|Team Falcons|skiter,Malr1ne,ATF,Cr1t-,Sneyking|Aui_2000|欧洲
2024|c9|8605863|5–6|Cloud9|watson,No[o]ne,DM,Kataomi,Fishman|Astini|欧洲
2024|xtreme|8261500|5–6|Xtreme Gaming|Ame,Xm,Xxs,XinQ,Dy|Maps|中国
2024|betboom|8255888|7–8|BetBoom Team|Nightfall,gpk,MieRo,Save-,TORONTOTOKYO|boolk|东欧
2024|aurora|9467224|7–8|Aurora Gaming|23savage,lorenof,Jabz,Q (泰国),Oli|SunBhie|东南亚
2025|falcons|9247354|1|Team Falcons|skiter,Malr1ne,ATF,Cr1t-,Sneyking|Aui_2000|欧洲
2025|xtreme|8261500|2|Xtreme Gaming|Ame,Xm,Xxs,XinQ,xNova|xiao8|中国
2025|parivision|9572001|3|PARIVISION|Satanic,No[o]ne,DM,9Class,Dukalis|Astini|欧洲
2025|betboom|8255888|4|BetBoom Team|Pure,gpk,MieRo,Save-,Kataomi|boolk|东欧
2025|heroic|9303484|5–6|HEROIC|Yuma,4nalog,Wisper,Scofield,KJ|kaffs|南美
2025|nigma|7554697|5–6|Nigma Galaxy|Ghost,SumaiL,No!ob,OmaR,GH|KuroKy|欧洲
2025|tundra|8291895|7–8|Tundra Esports|Crystallis,bzm,33,Saksa,Tobi|MoonMeander|欧洲
2025|tidebound|9640842|7–8|Team Tidebound|shiro,NothingToSay,Faith_bian,planet,y`|Yao|中国
2026|spirit|7119388|1|Team Spirit|Yatoro,Larl,Collapse,not me,rue|Miposhka,MiLAN|东欧
2026|parivision|9572001|2|TEAM VISION|Satanic,No[o]ne,Noticed,9Class,Dukalis|Puppey|欧洲
2026|yandex|9823272|3|Team Yandex|watson,CHIRA_JUNIOR,DM,Saksa,Malady|Accell|东欧
2026|betboom|8255888|4|BoomBoys|Kiritych,gpk,MieRo,Save-,Kataomi|boolk|东欧
2026|liquid|2163|5–6|Team Liquid|miCKe,Nisha,Ace,Boxi,tOfu|Blitz,Jabbz|欧洲
2026|nigma|10136357|5–6|Nigma Galaxy|SumaiL,lorenof,Davai Lama,OmaR,GH|KuroKy|欧洲
2026|ironwing|10150413|7–8|Iron Wing|Pure,bzm,33,Ari,Whitemon|MoonMeander|欧洲
2026|falcons|9247354|7–8|Team Falcons|skiter,Malr1ne,ATF,Cr1t-,Sneyking|Aui_2000|欧洲
